Source,Title,Link,Summary,SEO_Score
Ada Derana,Body of one of five missing navy personnel found,http://www.adaderana.lk/news.php?nid=115601,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764857855-chalai-1.jpg"" width=""60"" />The body of one of the five Sri Lanka Navy personnel who went missing during a flood mitigation operation in the Chalai area in Mullaitivu District has been recovered, Navy Media Spokesperson Commander Buddhika Sampath confirmed. MORE..",10
Ada Derana,Chinese president extends condolences to Sri Lankan president over severe flooding,http://www.adaderana.lk/news.php?nid=115600,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764855555-china-president-1.jpg"" width=""60"" />Chinese President Xi Jinping on Wednesday sent a message of condolence to Sri Lankan President Anura Kumara Dissanayake over the severe flooding that hit Sri Lanka. MORE..",10
Ada Derana,Pakistan sends 80 tons of humanitarian aid to Sri Lanka,http://www.adaderana.lk/news.php?nid=115599,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764854479-pakistan-1.png"" width=""60"" />Pakistan has dispatched 80 tons of humanitarian assistance to Sri Lanka through the Pakistan National Disaster Management Authority (NDMA), in coordination with SriLankan Airlines, as part of its continued support following the recent natural disaster caused by Cyclone Ditwah. MORE..",10
Ada Derana,Death toll due to adverse weather rises to 481 in Sri Lanka,http://www.adaderana.lk/news.php?nid=115598,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764853745-toll-1.png"" width=""60"" />The Disaster Management Centre (DMC) reported that 481 deaths have been recorded as at 06.00 p.m. today (04) as a result of the adverse weather conditions experienced across the country in recent days. MORE..",10
Ada Derana,Fairly heavy showers likely in several provinces,http://www.adaderana.lk/news.php?nid=115597,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764851330-rain-1.jpg"" width=""60"" />Several spells of showers have been predicted for the Northern, North-Central, Eastern and Uva provinces and in the Matale district today (04), according to the Department of Meteorology. MORE..",10
Ada Derana,Sri Lanka Cricket donates Rs. 300 million to Rebuilding Sri Lanka  Fund,http://www.adaderana.lk/news.php?nid=115596,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764849595-cricket-1.jpg"" width=""60"" />Sri Lanka Cricket (SLC), under the direction of President Shammi Silva and the Executive Committee, has decided to donate Rs. 300 million to the government s Rebuilding Sri Lanka  Fund. MORE..",10
Ada Derana,Magnitude 6.0 earthquake strikes China s Xinjiang region,http://www.adaderana.lk/news.php?nid=115595,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764848581-china-1.jpg"" width=""60"" />China reported on Thursday a magnitude 6.0 earthquake in Xinjiang, a region in the country s northwest that shares a border with Kyrgyzstan, the China Earthquake Networks Center (CENC) said. MORE..",10
Ada Derana,Advisory issued for severe lightning,http://www.adaderana.lk/news.php?nid=115594,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764847382-lightening-1.jpg"" width=""60"" />An Amber  advisory has been issued by the Department of Meteorology for severe lightning in several provinces and one district. MORE..",10
Ada Derana,National parks and Dehiwala Zoo reopened,http://www.adaderana.lk/news.php?nid=115593,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764846789-zoo-1.jpg"" width=""60"" />All institutions affiliated to the National Zoological Department, which were temporarily closed due to adverse weather conditions caused by Cyclone Ditwah,  have been reopened to the public. MORE..",10
Ada Derana,President urges long-term solutions for disaster-prone area residents,http://www.adaderana.lk/news.php?nid=115592,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764844945-DISSANAYAKE-1.jpg"" width=""60"" />President Anura Kumara Dissanayake advised the officials of the Home Development Authority to identify full and semi -damaged houses according to the proper methodology and to prepare a special technique to efficiently obtain the correct data required for compensation. MORE..",10
Daily News,“Never waste a crisis”: Ali Sabry calls for climate-resilient rebuilding after devastation,https://dailynews.lk/2025/12/05/local/908761/never-waste-a-crisis-ali-sabry-calls-for-climate-resilient-rebuilding-after-devastation/,"<p>Former Foreign Minister Ali Sabry, PC, has called on the country to seize the current national disaster as a turning point, stressing that Sri Lanka must “never waste a crisis”&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908761/never-waste-a-crisis-ali-sabry-calls-for-climate-resilient-rebuilding-after-devastation/"">“Never waste a crisis”: Ali Sabry calls for climate-resilient rebuilding after devastation</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Overseas Sri Lankans contribute millions to ‘Rebuild Sri Lanka’ Fund,https://dailynews.lk/2025/12/05/local/908754/overseas-sri-lankans-contribute-millions-to-rebuild-sri-lanka-fund/,"<p>The ‘Rebuilding Sri Lanka’ Fund has received nearly Rs. 635 million from Sri Lankans living abroad, according to Dr. Harshana Suriyapperuma, Secretary to the Ministry of Finance, Planning and Economic&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908754/overseas-sri-lankans-contribute-millions-to-rebuild-sri-lanka-fund/"">Overseas Sri Lankans contribute millions to &#8216;Rebuild Sri Lanka&#8217; Fund</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Taiwan to ban Chinese app RedNote over fraud concerns,https://dailynews.lk/2025/12/05/breaking-news/908747/taiwan-to-ban-chinese-app-rednote-over-fraud-concerns/,"<p>Taiwan says it will block access to popular Chinese social media app RedNote or Xiaohongshu for one year following concerns over online shopping scams. The island&#8217;s Criminal Investigation Bureau said&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/breaking-news/908747/taiwan-to-ban-chinese-app-rednote-over-fraud-concerns/"">Taiwan to ban Chinese app RedNote over fraud concerns</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Akuressa sees intense rain,https://dailynews.lk/2025/12/05/local/908735/akuressa-records-heaviest-rainfall-in-24-hours/,"<p>Akuressa, along the Nilwala River, received the highest rainfall in the past 24 hours, recording nearly 125 mm, according to Engineer L. S. Suriyabandara, Director (Hydrology and Disaster Management) of&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908735/akuressa-records-heaviest-rainfall-in-24-hours/"">Akuressa sees intense rain</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Parliament to hold third reading of 2026 Budget today,https://dailynews.lk/2025/12/05/local/908717/parliament-to-hold-third-reading-of-2026-budget-today/,"<p>The third reading of the 2026 Appropriation Bill, marking the 80th Budget Speech, is scheduled to take place today (05) at 6 p.m., according to the Parliament’s Department of Communication.&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908717/parliament-to-hold-third-reading-of-2026-budget-today/"">Parliament to hold third reading of 2026 Budget today</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Indian PM breaks protocol to personally receive Russian President,https://dailynews.lk/2025/12/05/breaking-news/908710/indian-pm-breaks-protocol-to-personally-receive-russian-president/,"<p>In a rare and powerful diplomatic gesture, PM Narendra Modi personally received Russian President Vladimir Putin with a hug at Delhi’s Palam Airport. This high-impact welcome signals India’s strong commitment&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/breaking-news/908710/indian-pm-breaks-protocol-to-personally-receive-russian-president/"">Indian PM breaks protocol to personally receive Russian President</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Putin says Russia will take Donbas by force or Ukraine’s troops will withdraw,https://dailynews.lk/2025/12/05/local/908703/putin-says-russia-will-take-donbas-by-force-or-ukraines-troops-will-withdraw/,"<p>President Vladimir Putin has warned again that Ukrainian troops must withdraw from Ukraine&#8217;s eastern Donbas region or Russia will seize it, rejecting any compromise over how to end the war&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908703/putin-says-russia-will-take-donbas-by-force-or-ukraines-troops-will-withdraw/"">Putin says Russia will take Donbas by force or Ukraine&#8217;s troops will withdraw</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Monsoon conditions intensify as heavy rain and thunderstorms loom over several provinces,https://dailynews.lk/2025/12/05/local/908697/monsoon-conditions-intensify-as-heavy-rain-and-thunderstorms-loom-over-several-provinces/,"<p>The Northeast monsoon condition is gradually establishing over the island. Several spells of showers will occur in Northern, North-Central, Eastern and Uva provinces and in Matale district. Showers or thundershowers&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908697/monsoon-conditions-intensify-as-heavy-rain-and-thunderstorms-loom-over-several-provinces/"">Monsoon conditions intensify as heavy rain and thunderstorms loom over several provinces</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,IMF offers Sri Lanka quick access to nearly US$ 350 Mn,https://dailynews.lk/2025/12/05/local/908562/imf-offers-sri-lanka-quick-access-to-nearly-us-350-mn/,"<p>Funds to be disbursed from sixth tranche of EFF Announcement made at donor forum meeting at Finance Ministry World Bank to carry out post-disaster assessment The International Monetary Fund (IMF)&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/local/908562/imf-offers-sri-lanka-quick-access-to-nearly-us-350-mn/"">IMF offers Sri Lanka quick access to nearly US$ 350 Mn</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
Daily News,Himaru Deshan bowls Sri Lanka Under-17 to a nine-wicket win,https://dailynews.lk/2025/12/05/sports/908478/himaru-deshan-bowls-sri-lanka-under-17-to-a-nine-wicket-win/,"<p>Leg-spinner Himaru Deshan produced outstanding figures of 8 for 93 as the Sri Lanka Under-17 team recorded a nine-wicket win over Bangladesh Under-17 in their three-day match played at the&#8230;</p>
<p>The post <a href=""https://dailynews.lk/2025/12/05/sports/908478/himaru-deshan-bowls-sri-lanka-under-17-to-a-nine-wicket-win/"">Himaru Deshan bowls Sri Lanka Under-17 to a nine-wicket win</a> appeared first on <a href=""https://dailynews.lk"">DailyNews</a>.</p>",6
EconomyNext,Sri Lanka’s bizarre cyclone Ditwah that stayed and stayed and rained and rained,https://economynext.com/sri-lankas-bizarre-cyclone-ditwah-that-stayed-and-stayed-and-rained-and-rained-251573/,"Ditwah was a first level cyclone, but it moved slowly and it was difficult to predict its path at first",5
EconomyNext,Cyclones Ditwah drives 55-pct of Sri Lanka electricity consumers in darkness,https://economynext.com/cyclones-ditwah-drives-55-pct-of-sri-lanka-electricity-consumers-in-darkness-251563/,Power restored to 85-pct of customers by Dec 04,5
EconomyNext,India airlifts Bailey Bridge to connect cyclone-hit Sri Lanka,https://economynext.com/india-airlifts-bailey-bridge-to-connect-cyclone-hit-sri-lanka-251535/,The system and can be installed within a few hours to replace damaged bridges,5
EconomyNext,Sri Lanka CEB employee dies restoring power adding to relief worker fatalities,https://economynext.com/sri-lanka-ceb-employee-dies-restoring-power-adding-to-relief-worker-fatalities-251485/,A helicopter pilot died earlier,5
EconomyNext,"Sri Lanka farmers had sown 563,000 hectares of rice when cyclone hit",https://economynext.com/sri-lanka-farmers-had-sown-563000-hectares-of-rice-when-cyclone-hit-251511/,Extensive damage to poultry flock and milch cows,5
EconomyNext,More than 800 dead or missing in Sri Lanka from Cyclone Ditwah,https://economynext.com/more-than-800-dead-or-missing-in-sri-lanka-from-cyclone-ditwah-251462/,Over 1.6 million hit from floods and landslides,5
EconomyNext,"Sri Lanka sells 1-year dollar bonds for 5.7-pct, 2-y for 6.1-pct",https://economynext.com/sri-lanka-sells-1-year-dollar-bonds-for-5-7-pct-2-y-for-6-1-pct-251443/,88 million dollars bids received.,5
EconomyNext,Sri Lanka says minimum damage to tourism infrastructure; ready to receive foreigners,https://economynext.com/sri-lanka-says-minimum-damage-to-tourism-infrastructure-ready-to-receive-foreigners-251436/,Total damage yet to be assessed amid continued rescue operation,5
EconomyNext,ADB gives Sri Lanka $3mn Cyclone Ditwah disaster grant,https://economynext.com/adb-gives-sri-lanka-3mn-cyclone-ditwah-disaster-grant-251431/,Vietnam and Thailand get $2mn each,5
EconomyNext,Sri Lanka Customs faces four-day backlog after disaster; expects normalcy by December,https://economynext.com/sri-lanka-customs-faces-four-day-backlog-after-disaster-expects-normalcy-by-december-251432/,Customs has already reached its 2025 revenue target,5
EconomyNext,Sri Lanka gets $100mn budget support loan on power reforms,https://economynext.com/sri-lanka-gets-100mn-budget-support-loan-on-power-reforms-251424/,ADB will give a 2.5 million a grant to build the capacity of un-bundled companies,5
EconomyNext,"Sri Lanka rupee strengthens marginally, bond yields edge up",https://economynext.com/sri-lanka-rupee-strengthens-marginally-bond-yields-edge-up-251416/,Shorter end of the yield curve broadly steady while selected tenors saw rates edge up.,5
EconomyNext,"Sri Lanka stocks close down 1.87-pct, weighed by financials, capital goods",https://economynext.com/sri-lanka-stocks-close-down-1-87-pct-weighed-by-financials-capital-goods-251404/,Market turnover was 3.7 billion rupees,5
EconomyNext,UK pledges 675k pounds for Sri Lanka cyclone disaster relief,https://economynext.com/uk-pledges-675k-pounds-for-sri-lanka-cyclone-disaster-relief-251398/,"Delivered through humanitarian partners on the ground, including Red Cross, UN agencies and local civil society orgs",5
EconomyNext,Ajith Fernando designated Chairman of Sri Lanka’s Hemas group,https://economynext.com/ajith-fernando-designated-chairman-of-sri-lankas-hemas-group-251391/,"Fernando is a veteran in investment banking with over 30 years of experience, the company said.",5
EconomyNext,"Sri Lanka restores 2,800 mobile base stations hit by floods",https://economynext.com/sri-lanka-restores-2800-mobile-base-stations-hit-by-floods-251382/,"The remaining 949, inactive due to power outages, are being restored to functionality as soon as possible,",5
EconomyNext,Sri Lanka President convenes emergency cabinet meeting,https://economynext.com/sri-lanka-president-convenes-emergency-cabinet-meeting-251378/,Hurricane Ditwah has caused widespread damage,5
EconomyNext,"Sri Lanka rupee depreciates further, bond yields recover",https://economynext.com/sri-lanka-rupee-depreciates-further-bond-yields-recover-251370/,Stocks were up,5
EconomyNext,Sri Lanka vegetable prices collapse as supplies flood market after price spike,https://economynext.com/sri-lanka-vegetable-prices-collapse-as-supplies-flood-market-after-price-spike-251300/,"""The road are open so we came,"" a man who appeared to be a collector said. ""But today prices are down""",5
EconomyNext,Sri Lanka on track to import US LP Gas,https://economynext.com/sri-lanka-on-track-to-import-us-lp-gas-251267/,Geo Gas will supply LPG for 12 months starting from January 2026,5
News.lk,We will extend every possible support to rebuild the lives of all those affected by the disaster,https://news.lk/news/we-will-extend-every-possible-support-to-rebuild-the-lives-of-all-those-affected-by-the-disaster,"<p>The Government extends gratitude to the Tri-Forces, the Police, public officers, volunteer organisations, the public, and all foreign nations who have dedicated themselves to supporting the affected people. - Prime Minister Dr. Harini Amarasuriya</p>",2
News.lk,Management Committee of the ‘Rebuilding Sri Lanka’ Fund Appointed with Representatives from the Public and Private Sectors,https://news.lk/news/management-committee-of-the-rebuilding-sri-lanka-fund-appointed-with-representatives-from-the-public-and-private-sectors,"<p style=""text-align: justify;"">Cabinet approval has been granted to establish the ‘Rebuilding Sri Lanka’ Fund, aimed at rebuilding the country following the severe devastation caused by Cyclone ‘Ditwah’, one of the worst natural disasters in Sri Lanka’s recent history. The Fund is to be established as a statutory fund under the Presidential Secretariat and its Management Committee will comprise representatives from both the public and private sectors.</p>",2
News.lk,Be Vigilant About Infectious Diseases as Floodwaters Recede,https://news.lk/news/be-vigilant-about-infectious-diseases-as-floodwaters-recede,"<p>Assistant Secretary of the National Disaster Relief Services Centre, Jayatissa Munasinghe</p>",2
News.lk,"Cyclone Ditva Leaves Over 830,000 Affected; 159 Dead",https://news.lk/news/cyclone-ditva-leaves-over-830-000-affected-159-dead,"<p style=""text-align: justify;"">Cyclone Ditva has caused widespread damage across the country. According to the Disaster Management Center, 833,985 people from 234,503 families have been affected as of 6.00 am today (30). A total of 159 deaths have been reported, and 203 people are still missing.</p>",2
News.lk,Telephone  Numbers Issued for Reporting Disaster Situations,https://news.lk/news/telephone-numbers-issued-for-reporting-disaster-situations,<p>Sri Lanka Police has released the telephone numbers of the operation rooms of 47 police stations across the island. The press release is given below.</p>,2
News.lk,India Reaffirms Strong Support to Sri Lanka in Disaster Response – PM Modi,https://news.lk/news/india-reaffirms-strong-support-to-sri-lanka-in-disaster-response-pm-modi,"<p style=""text-align: justify;"">Indian Prime Minister Narendra Modi has assured Sri Lanka of India’s unwavering support during times of disaster, reaffirming the country’s commitment under the Neighbourhood First Policy and Ocean Vision.</p>",2
News.lk,"Develop a Structured, Scientific Rehabilitation Programme for Drug Addicts",https://news.lk/news/develop-a-structured-scientific-rehabilitation-programme-for-drug-addicts,"<p style=""text-align: justify;"">President instructs ‘A Nation United’ National Steering Council</p>
<p style=""text-align: justify;"">President directs Ministry of Justice to formulate new laws aimed at the swift disposal of seized dangerous drugs.</p>",2
News.lk,Weather Forecast,https://news.lk/news/weather-forecast-5,"<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"">
<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"" dir=""auto"">
<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"">
<div class=""x1iorvi4 xjkvuk6 x1g0dm76 xpdmqnj"" id=""_r_3ne_"">
<div class=""x78zum5 xdt5ytf xz62fqu x16ldp7u"">
<div class=""xu06os2 x1ok221b"">
<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"">
<div class=""x14z9mp xat24cr x1lziwak x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"" style=""text-align: justify;"">A low-pressure area has formed over South Andaman Sea area. It is likely to move west-northwestwards and intensify into a depression over South-east Bay of Bengal today (24).</div>",2
News.lk,Weather Forecast,https://news.lk/news/weather-forecast-4,"<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"">
<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"" dir=""auto"">
<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"">
<div class=""x1iorvi4 xjkvuk6 x1g0dm76 xpdmqnj"" id=""_r_13v_"">
<div class=""x78zum5 xdt5ytf xz62fqu x16ldp7u"">
<div class=""xu06os2 x1ok221b"">
<div class=""html-div xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl"">
<div class=""x14z9mp xat24cr x1lziwak x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"" style=""text-align: justify;"">Prevailing showery condition over the island is expected to continue further during the next few days.</div>",2
News.lk,SLIIT Law Faculty Students Visit President’s House,https://news.lk/news/sliit-law-faculty-students-visit-presidents-house,"<p>The students of the Faculty of Law of the Sri Lanka Institute of Information Technology (SLIIT), Malabe, were given the opportunity to participate in the ‘Vision’ programme organised by the Presidential Secretariat, today (21).</p>
<p>This programme is implemented for students jointly by the Presidential Secretariat, the Ministry of Education and the Department of Communication of the Parliament.</p>
<p>In parallel with this programme, a valuable donation of saplings was made to the institute as a symbolic gesture highlighting the importance of environmental conservation.</p>
<p>Senior Additional Secretary to the President, Mr. Roshan Gamage, Lecturer of the Faculty of Law of the Sri Lanka Institute of Information Technology (SLIIT), Mr. Gimhan Sooriyabandara and Major Nadeeka Dangolla, Assistant Director of the Tri-Forces Coordination Unit at the Presidential Secretariat participated at the event.</p>",2
News.lk,Support the continued maintenance of the economic stability we have achieved – President tells the Government Medical Officers’ Association,https://news.lk/news/support-the-continued-maintenance-of-the-economic-stability-we-have-achieved-president-tells-the-government-medical-officers-association,"<p style=""text-align: justify;"">“Let us rebuild this country together, without creating a situation where you keep asking and I simply keep giving.” – President</p>",2
News.lk,Discussion held to establish a stable programme to resolve issues faced by local big onion farmers,https://news.lk/news/discussion-held-to-establish-a-stable-programme-to-resolve-issues-faced-by-local-big-onion-farmers,"<p>A discussion aimed at formulating a systematic programme to address the issues faced by local big onion farmers was held this morning (17) at the Presidential Secretariat. It was held under the patronage of the Minister of Agriculture, Livestock, Land and Irrigation, K. D. Lal Kantha, together with the Minister of Trade, Commerce, Food Security and Cooperative Development, Wasantha Samarasinghe.</p>
<p>Minister K. D. Lal kantha pointed out that while a concrete programme has long existed to safeguard paddy farmers, no such systematic plan had been developed for other crops. He stated that this is the first time a government is preparing a definitive programme to resolve the problems of big onion farmers, emphasising that the present government’s objective is to protect all farmers and improve their living standards.</p>
<p>During the discussion, it was highlighted that while seeking solutions to issues in the big onion sector, priority must be given to farmer-related challenges, while also ensuring onions are made available to consumers at affordable prices. The Minister further emphasised that all decisions must be based on accurate data.</p>
<p>Matters relating to increasing big onion production and the pricing mechanism were discussed in detail. The Department of Agriculture also presented a report outlining strategies and actions for sustainable production and marketing related to local big onion cultivation.</p>
<p>A planned programme is currently underway to increase big onion production from 17% in 2025 to 22% in 2026 and 27% in 2027.</p>
<p>It was also stressed that the government has decided to introduce a stable price for big onions in a manner that is fair to farmers. Lengthy discussions were held on steps that could be taken to improve storage and other facilities for farmers.</p>
<p>Farmers pointed out that sharp price fluctuations caused by wide market gaps posed a major challenge, yet they continue with their cultivation amidst this risk. They requested the government to provide the necessary facilities to allow them to continue big onion cultivation as a sector that could generate significant income.</p>
<p>As many of the farmers engaged in this sector operate on small landholdings, Minister K. D. Lalkantha emphasised the need to consider such factors when calculating production costs and making policy decisions. He also urged all farmers to register under the Department of Agrarian Development so that necessary interventions can be made promptly in emergencies.</p>
<p>Farmers expressed their appreciation to the government for intervening with a definitive programme, where something is being done for the first time to address their challenges. They noted their confidence in the present government and said they were ready to work together with it in seeking solutions.</p>
<p>Deputy Minister of Agriculture and Livestock, Namal Karunaratne; Secretary to the Ministry of Agriculture, Livestock, Lands and Irrigation, D. P. Wickramasinghe; Senior Additional Secretary to the President, Kapila Janaka Bandara; Director General of Agriculture, Dr W. A. R. T. Wickramarachchi; senior officials of the Department of Agriculture; and a group of big onion farmers representing Dambulla and Galenbindunuwewa also took part in this discussion.</p>",2
News.lk,Global Entrepreneurship Week 2025 Begins Under the Patronage of the Prime Minister,https://news.lk/news/global-entrepreneurship-week-2025-begins-under-the-patronage-of-the-prime-minister,"<p style=""text-align: justify;"">All sectors must work in collective effort to empower local entrepreneurs for a digital economy.</p>",2
Onlanka.com,IMF signals flexibility and support for Sri Lanka after devastating cyclone,https://www.onlanka.com/news/imf-signals-flexibility-and-support-for-sri-lanka-after-devastating-cyclone.html,"<p>The International Monetary Fund (IMF) has expressed deep sympathy and strong support for Sri Lanka following the destructive cyclone that hit the country last week, causing major flooding, loss of life, and widespread damage.</p>
<p>The post <a href=""https://www.onlanka.com/news/imf-signals-flexibility-and-support-for-sri-lanka-after-devastating-cyclone.html"">IMF signals flexibility and support for Sri Lanka after devastating cyclone</a> appeared first on <a href=""https://www.onlanka.com"">Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA</a>.</p>",1
Onlanka.com,South Korea sends $1.5 Million in humanitarian aid to flood-hit countries,https://www.onlanka.com/news/south-korea-sends-1-5-million-in-humanitarian-aid-to-flood-hit-countries.html,"<p>South Korea will provide $1.5 million in humanitarian aid to Vietnam, Thailand, and Sri Lanka to help the countries recover from deadly floods and landslides, the South Korean Foreign Ministry announced today (December 04).</p>
<p>The post <a href=""https://www.onlanka.com/news/south-korea-sends-1-5-million-in-humanitarian-aid-to-flood-hit-countries.html"">South Korea sends $1.5 Million in humanitarian aid to flood-hit countries</a> appeared first on <a href=""https://www.onlanka.com"">Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA</a>.</p>",1
